SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit
(I've Had) The Time Of My LifeBill Medley & Jennifer Warnes,No Explicit Content,289066,70,0.7,0.781,F#,-8.255,minor,0.0507,0.0874,0.00342,0.059,0.385,108.695,4,1
(I've Had) The Time Of My LifeGlee Cast,No Explicit Content,277560,49,0.459,0.77,A,-5.996,major,0.0472,0.0765,0,0.0879,0.168,110.705,4,0
(If Loving You Is Wrong) I Don't Want To Be RightBarbara Mandrell,No Explicit Content,185013,35,0.628,0.536,E,-10.905,minor,0.0324,0.038,0.0000123,0.115,0.704,74.862,4,0
(If Loving You Is Wrong) I Don't Want To Be RightLuther Ingram,No Explicit Content,216800,48,0.502,0.451,E,-7.423,minor,0.0438,0.283,0,0.154,0.531,140.474,4,0
(If There Was) Any Other WayCeline Dion,No Explicit Content,240093,28,0.671,0.784,G,-8.672,minor,0.0322,0.239,3.6E-6,0.139,0.904,124.013,4,0
"(If You Cry) True Love, True LoveThe Drifters",No Explicit Content,141426,16,0.511,0.236,C,-14.496,major,0.043,0.67,0,0.0953,0.196,141.222,4,0
(If You Let Me Make Love To You Then) Why Can't I Touch You?Ronnie Dyson,No Explicit Content,203746,20,0.398,0.692,C,-8.596,major,0.045,0.496,0,0.394,0.65,93.907,4,0
(If You Want It) Do It YourselfGloria Gaynor,No Explicit Content,170866,11,0.686,0.895,F#,-6.731,minor,0.126,0.144,0.0000118,0.197,0.729,110.354,4,0
(If You're Wondering If I Want You To) I Want You ToWeezer,No Explicit Content,208773,51,0.704,0.869,B,-5.708,minor,0.0442,0.00219,0.000117,0.127,0.8,110.015,4,0
(It Never Happens) In Real LifeChuck Jackson,No Explicit Content,165440,5,0.696,0.459,Eb,-8.464,major,0.0303,0.691,0.0331,0.138,0.849,119.069,4,0
(It's No) SinThe Duprees featuring Joey Vann,No Explicit Content,162533,11,0.353,0.377,G,-9.358,major,0.0294,0.859,0.0000752,0.068,0.492,107.691,3,0
